product_name,total_sales,total_profit
"Apple Smart Phone, Full Size",86936.00,5921.58
"Cisco Smart Phone, Full Size",76441.00,17238.52
"Motorola Smart Phone, Full Size",73159.00,17027.11
"Nokia Smart Phone, Full Size",71904.00,9938.20
Canon imageCLASS 2200 Advanced Copier,61600.00,25199.93
"Hon Executive Leather Armchair, Adjustable",58200.00,5997.25
"Office Star Executive Leather Armchair, Adjustable",50667.00,4710.98
"Harbour Creations Executive Leather Armchair, Adjustable",50120.00,10427.33
"Samsung Smart Phone, Cordless",48654.00,-198.09
"Nokia Smart Phone, with Caller ID",47880.00,9465.33
